feature,coefficient
recipe_rating_std,-0.7313966385902885
user_rating_std,-0.632996440983385
user_mean_rating,0.47640728718882
recipe_mean_rating,0.38303746239629316
log_days_since_submission,-0.17408364269595095
calories,-0.17051321962200716
user_log_num_ratings,-0.11283932104519825
carbs_pdv,0.09395208723400977
total_fat_pdv,0.07880968118539448
protein_pdv,0.0600410979856465
recipe_log_num_ratings,-0.043394077101722384
user_mean_calories,-0.03234074070961289
user_mean_minutes,0.027127086862168064
sodium_pdv,0.016173630415121112
is_weekend,-0.012066716361337505
is_healthy,-0.012012225344994442
health_score,-0.007988495619388549
log_minutes,-0.00716688356537317
log_n_ingredients,-0.0034680227179228833
saturated_fat_pdv,-0.00317304074567678
log_n_steps,0.0013234892984884698
sugar_pdv,-0.00023927419705550368
