feature,coefficient
is_healthy,5.14561599765191e-17
log_minutes,-2.0556473190325164e-16
log_n_ingredients,-2.6476809975159096e-16
recipe_mean_rating,1.0
recipe_num_ratings,1.3595895242968226e-16
