health_weight,precision@10,recall@10,healthy_fraction,bias_ratio
0.0,0.008,0.06,0.17647058823529413,0.5341319274769588
0.05,0.01,0.08,0.4482758620689655,1.3568178847403205
0.1,0.01,0.08,0.5185185185185185,1.569424675796496
0.15,0.01,0.08,0.5384615384615384,1.6297871633271306
0.2,0.01,0.08,0.5833333333333334,1.7656027602710582
0.3,0.01,0.08,0.56,1.694978649860216
0.5,0.008,0.07,0.6086956521739131,1.8423680976741477
